,,,,
Date,Abortion,Infanticide,Concealed Pregnancy,Text 
1676-12-13,1.0,,,"THe first person tried, was for making away her Bastard-childe ; but upon hearing the Evidence, and examination both of the Midwife and Coroner, it appeared tobe onely a Miscarriage; and by several circumstances there was reason to judge that she had not gone above sixteen weeks, and had never been quick, the abortive Infant being not above eight inches long, and no symptoms of Wounds or Bruises being to be seen, on the body to argue any violence used to it, he Jury thereupon thought fit to bring her in not guilty ."
1677-16-01,,1.0,,"After this was the Tryal of a Midwife of the Parish of St. Giles Cripplegate , who was Indicted by her self, and immediately after two very aged poor women being Searcher s towards Wapping Indicted jointly for murdering a certain male Child by choaking the same with their hands, &c. Some account has already been given in Print of this business, but very false and imperfect, upon full Evidence it appeared only to be thus. This Midwife whether to satisfie her Husband (as she now alleadges) who was very Impatient to have a child, or whether it were to preserve her credit in her imploy which she thought somwhat prejudiced by the imputation of barrenness, I cannot say, but so it was she resolved to pretend to have a Child, in order hereunto by wearing a small Pillow, &c. she had perswaded many of her neighbors that she was great, and about a week before her pretended Labour enquired very earnestly of a poor Woman if she could not help her to a young Child as soon almost as born, either alive or dead, For says she there is a Lady whose husband will not live with her because she never had a Child, and he is now in the Country and if I could get a Child, I should do a good office in rendering love between them, and get something my self, but this Woman as she now swore, refused not knowing how to assist her; whereupon it seems she applied her self to the two searchers of Whitechappel, who having gratified her extravagant desires, on the 18. of April our Midwife pretends to fall in labour, but would not let any of the women touch her; and having dismist all save one in the Chamber, when she was got to bed, pretending great pains, her friend offering to put her hands into the Bed for better satisfying her self of her condition, she cried out Murder! Murder! Which raising a further suspicion in the woman, she did at last take out of the Bed a cold naked dead Child, which had, as appeared, been wrapt up in a Cloth, and seemed to have been a day or two old; whereupon she told the Prisoner this could be none of her child, who wickedly replyed with a horrid Curse and Imprecation on her self, if it were not her own child, born of her own body: However, Neighbours being called, several sober Matrons now deposed, that having searched her, they were confident she had no child at all, and that this was some other persons child, &c. The Prisoner being demanded where she had the child, declared of the two Searchers, which they being called to the Bar acknowledged, and that they brought it to her the same day, and had 20s. being promised 9l. more: That they had it on Saltpeter Bank. The Mother appeared in Court, and her Midwife, who testified it to be still born, and that they coming to search it, and seeing her a very poor woman, told her they would save her the charge of a Burial, &c. But the Mother denyed she had any money for it: Upon full examination of all which no suspicion of murder appearing, but only a strange extravagant humour, both the Midwife and two Searchers were by the Jury brought in Not Guilty of the several Indictments whereof they stood charged."
1677-06-09,,1.0,,"THe first person that received Trial this Sessions, was a young Woman for the horrid Crime of Murder, charged to have been unnaturally committed on her own Female bastard Child , on the 17th of July last: She had been for some time suspected to be with child, but it did not appear any body had burthen'd her therewith. She was delivered alone, and had laid the Child in a Trunk; but being very sick, a woman (at whose house she lay) upon some suspicion sent for a Midwife, who declaring that she had had a Child, the now Prisoner at last confest it, and they found it lockt up in the Trunk as aforesaid. The Prisoner alleadged it was still-born, and upon view of the Body there did not appear the least mark of wound, bruise, or other violence used: So that thereupon, and her voluntary Confession, &c. the Jury not believing that she had actually murdered the Infant, brought her in Not guilty ."
1679-04-30,,1.0,,"THe Sessions beginning on Wednesday, a young woman was tried for Murthering her (supposed) Bastard-childe . Being Servant in a Victualing-house , a Fellow living in the same house, accidentally found something under the stairs wrapt up in a Cloth; which upon opening proved to be a young naked Childe; which had lain so long there, (six or eight weeks, as it was supposed) that 'twas putrified. Hereupon the Prisoner was suspected that it might be hers, and search'd by a Midwife and some Matrons, who were of opinion that she had a Childe, but not so lately: And indeed she confess'd, she had a year or two ago, a little one, but affirmed, that she was then married, and absolutely denied that she knew any thing of this Childe. Wherefore there being no proof that it was hers, and for that, being a publick house, it was possible it might be laid there by another, she was acquitted ."
1679-10-15,,1.0,,"The next seemed to be an object of Compassion to most People present, a poor young Wench lodging about Thames street, betrayed (as she alleadged by a promise of Marriage and getting her with Child, which being perceived by the Woman that she lodged with, to whom she confessed the truth thereof, just when she came to fall in Labour about 9 or 10 a Clock in the Night, this etous woman, fearing some charge or trouble might happen to her, who had entertain'd her, cruelly turned her out of doors, and set her in another Parish, and there left her in pains, telling her that now the said Parish were bound to provide for her. In this sad condition in the street, and without any help was this poor Creature delivered, and being found lying as one half dead by the watch, and her condition perceived; a midwife was called, who found the Child dead, but not separated from her Body , when she came to her; who asking her if it were still-born, the Prisoner both then and now said, it was not, for she heard it, cry, but denied that she intended or used any wilful means to make away the Life of it nor did there any signs of Violence appear save only some little spots or marks of a Bruse or Pinch on the Throat, which some conceive might be occasion'd Involuntarily in struggling to Promote its Birth; by an ignorant Woman in her circumstances: however being a Bastard Child, and the law makeing it death in that case for any woman to be delivered alone without calling help, she was thereupon found Guilty . [Death. See summary.]"
1681-04-13,,1.0,,"ANN Price was Arraigned and Tried for felloniously Murthering her Bastard Male-Infant in the Parish of St. Margaret's Westminster ; the circumstances thus, She having lived in the nature of a Servant with a Gentlewoman; as she confessed, was got with Child by a Man that was her fellow Servant; and carried it so cuningly, that no Person in the house did in the least suspect her till after she was delivered, which was without help, when wraping the Child in an Apron. She locked it up in her Box; and rising betimes in the Morning, made a Fire and went to Bed again; so that her Mistris finding her out of order, began to examine the cause; whereupon supspecting what had happen'd, she got a Midwife, who uponinquiry found she had been delivered; the which she stoutly denied, but at last confessed she had, the Child being still Born, and that she had locked it in her Box. where it was accordingly found, this being sworn by the Witness; her Answer was, That she finding her pains come fast upon her: knocked with her shoo, as loud as possible, but could make none hear her, by reason she lay up three pair of stairs; but the concealing of the Child, being a material Point of Evidence against her; upon the reciting the Statute, she was found guilty of Murther. [Death. See summary.]"
1681-05-20,,1.0,,"Elizabeth Messenger , was tryed upon an Indictment of Murther for making away her Bastard male Infant , the manner of which was, that the Prisoner being a Servant , by too much Familiarity with a Fellow that promised her Marriage proved with Chid, the which she carried so close that none perceived it, and being delivered alone, she got up betimes the next Morning and hid her Child under certain Boards, in a Cellar, but being very Ill, her Mistriss suspected her, and sending for a Midwife found she had been Delivered, the which she notwithstanding denied for a good Space: But in conclusion Confessed it and shewed them where she had disposed of it, it being taken, up a small Orifice was found in the Breast on 't. So that after the Reading of the Statute of King James, made for the prevention of such Murthers she was found Guilty of the Murthering of the said Infant. [Death. See summary.]"
1687-05-12,1.0,,,"Ann Wood , of the Parish of St. Giles's Cripple-gate , was Tryed for Murthering her Bastard Male Infant, on the 25th. of April last , against whom, upon Tryal it appeared that she had been delivered of a Child but at twice, viz. First of the Body, and afterward of the Head; yet it being look'd upon by the Midwife, who was assistant to her, that it was an Abortive Birth, and she wanted so much of her time, that the Infant was altogether imperfect, and consequently not alive, the Jury Acquitted her."
1687-05-12,,1.0,,"M - S - took her Tryal for Murthering her Male Bastard Infant, on the 26th. of April last ; the proof was, that she had had a Child which was found dead in her Chamber; yet she not attempting to conceal it, but on the contrary had been to bespeak a Midwife, at whose house she intended as she said to Lye in, and nothing appearing to the contrary but that it might be Born Dead, she was Acquitted ."
1688-01-13,1.0,1.0,,"Sinah Jones , of the Parish of St. Mary Woolnoth , was Indicted for Murdering her Bastard Male Child, on the Eighteenth of December last, being Saturday Night, by stopping its Breath with a Cloath put in its Mouth ; she being a Servant in the House of Mr. Cousins. The Evidence against her was plain, the Nurse, the Chair-woman, the Midwife, the Master and his Servant, all deposing, that she denying the Key, they broke open her Trunk, where they all saw the Child Dead, wrapped up in a Cloath, with a Rag in the Mouth of it, as big as a Handkerchief, and that the Child being something Warm, they tried all they could to recover Life in it, but to no purpose. The Prisoner said little for herself, but that she knew nothing of the Cloath in the Mouth of the Child, and that she had not her Senses; and was Light-headed. Then the Statute was read to her, wherein, If the Child be found Dead and, Concealed, though it were so Born, the Person Concealing it, shall suffer Death as in case of Murder, except she can prove by one Witness at least, that the Child so Concealed was Born Dead. Upon full Evidence, she was brought in guilty of Murder. [Death. See summary.]"
